Airline,flightCode,NumFlight,Departure,Source,Duration,Stops,Arrival,Destination,Price,Page_URL
Indigo,6E,2112,04:45,Delhi,02h 30m,non-stop ,07:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C18/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2716,02:00,Delhi,02h 15m,non-stop ,04:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C19/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,5218,06:30,Delhi,02h 15m,non-stop ,08:45,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C19/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,6814,07:15,Delhi,02h 25m,non-stop ,09:40,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C19/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2112,04:45,Delhi,02h 30m,non-stop ,07:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C19/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2017,19:20,Delhi,02h 10m,non-stop ,21:30,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2176,14:15,Delhi,02h 15m,non-stop ,16:30,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2016,15:45,Delhi,02h 15m,non-stop ,18:00,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,5318,16:25,Delhi,02h 15m,non-stop ,18:40,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,864,17:25,Delhi,02h 15m,non-stop ,19:40,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2084,20:20,Delhi,02h 15m,non-stop ,22:35,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2114,21:45,Delhi,02h 15m,non-stop ,00:00,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2505,11:00,Delhi,02h 20m,non-stop ,13:20,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2138,12:00,Delhi,02h 20m,non-stop ,14:20,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2519,23:00,Delhi,02h 20m,non-stop ,01:20,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C20/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
