s,a,r,sp
6E2009_12,b,0.0,6E2009_11
6E2009_12,w,0.0,6E2009_11
6E2009_13,b,19.13143294432753,travel
6E2009_13,w,0.0,6E2009_12
6E2009_14,b,14.46968600781363,travel
6E2009_14,w,0.0,6E2009_13
6E2009_15,b,23.815194093831863,travel
6E2009_15,w,0.0,6E2009_14
6E2009_16,b,23.815194093831863,travel
6E2009_16,w,0.0,6E2009_15
6E2009_17,b,19.13143294432753,travel
6E2009_17,w,0.0,6E2009_16
6E2009_18,b,23.815194093831863,travel
6E2009_18,w,0.0,6E2009_17
6E2009_19,b,23.815194093831863,travel
6E2009_19,w,0.0,6E2009_18
6E2009_2,b,0.0,6E2009_1
6E2009_2,w,0.0,6E2009_1
6E2009_20,b,23.815194093831863,travel
6E2009_20,w,0.0,6E2009_19
6E2009_21,b,16.50437365901964,travel
6E2009_21,w,0.0,6E2009_20
6E2009_22,b,23.815194093831863,travel
6E2009_22,w,0.0,6E2009_21
6E2009_23,b,23.815194093831863,travel
6E2009_23,w,0.0,6E2009_22
6E2009_24,b,20.973154362416107,travel
6E2009_24,w,0.0,6E2009_23
6E2009_25,b,20.973154362416107,travel
6E2009_25,w,0.0,6E2009_24
6E2009_26,b,19.13143294432753,travel
6E2009_26,w,0.0,6E2009_25
6E2009_27,b,19.13143294432753,travel
6E2009_27,w,0.0,6E2009_26
6E2009_28,b,14.46968600781363,travel
6E2009_28,w,0.0,6E2009_27
6E2009_29,b,23.815194093831863,travel
6E2009_29,w,0.0,6E2009_28
6E2009_3,b,0.0,6E2009_2
6E2009_3,w,0.0,6E2009_2
6E2009_30,b,23.815194093831863,travel
6E2009_30,w,0.0,6E2009_29
6E2009_31,b,20.973154362416107,travel
6E2009_31,w,0.0,6E2009_30
6E2009_32,b,20.973154362416107,travel
6E2009_32,w,0.0,6E2009_31
6E2009_33,b,19.13143294432753,travel
6E2009_33,w,0.0,6E2009_32
6E2009_34,b,19.13143294432753,travel
6E2009_34,w,0.0,6E2009_33
6E2009_35,b,14.46968600781363,travel
6E2009_35,w,0.0,6E2009_34
6E2009_36,b,23.815194093831863,travel
6E2009_36,w,0.0,6E2009_35
6E2009_37,b,17.20282126268708,travel
6E2009_37,w,0.0,6E2009_36
6E2009_38,b,20.973154362416107,travel
6E2009_38,w,0.0,6E2009_37
6E2009_39,b,20.973154362416107,travel
6E2009_39,w,0.0,6E2009_38
